source,listing_type,title,price,location,bedrooms,bathrooms,size_sqm,property_type,url,scraped_at,price_num,size_num,bedrooms_num,bathrooms_num,price_per_sqm,bed_bath_ratio
Property24,Sale,,KSh 14 800 000,"Riara Rd Maziwa, Kilimani, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kilimani-116930365,2026-02-17T14:48:50.237700,14.0,,,,,
Property24,Sale,,KSh 9 700 000,"Riara Rd Maziwa, Kilimani, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kilimani-116930428,2026-02-17T14:48:50.258467,9.0,,,,,
Property24,Sale,,KSh 11 800 000,"Riara Rd Maziwa, Kilimani, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kilimani-116930412,2026-02-17T14:48:50.278975,11.0,,,,,
Property24,Sale,,KSh 12 800 000,"Riara Rd Maziwa, Kilimani, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kilimani-116930393,2026-02-17T14:48:50.300078,12.0,,,,,
Property24,Sale,,KSh 9 210 000,"Kileleshwa Nairobi, Kileleshwa, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kileleshwa-116931390,2026-02-17T14:48:50.314794,9.0,,,,,
Property24,Sale,,KSh 9 210 000,"Kileleshwa Nairobi, Kileleshwa, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kileleshwa-116931375,2026-02-17T14:48:50.328757,9.0,,,,,
Property24,Sale,,KSh 9 210 000,"Kileleshwa Nairobi, Kileleshwa, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kileleshwa-116931358,2026-02-17T14:48:50.336200,9.0,,,,,
Property24,Sale,,KSh 7 150 000,"Kileleshwa Nairobi, Kileleshwa, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kileleshwa-116931342,2026-02-17T14:48:50.350417,7.0,,,,,
Property24,Sale,,KSh 7 150 000,"Kileleshwa Nairobi, Kileleshwa, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kileleshwa-116931337,2026-02-17T14:48:50.353694,7.0,,,,,
Property24,Sale,,KSh 7 150 000,"Kileleshwa Nairobi, Kileleshwa, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kileleshwa-116931318,2026-02-17T14:48:50.365569,7.0,,,,,
Property24,Sale,,KSh 5 110 000,"Kileleshwa Nairobi, Kileleshwa, Nairobi",,,,,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-kileleshwa-116931274,2026-02-17T14:48:50.369100,5.0,,,,,
Property24,Sale,,KSh 5 110 000,"Kileleshwa Nairobi, Kileleshwa, Nairobi",,,,,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-kileleshwa-116931260,2026-02-17T14:48:50.378884,5.0,,,,,
Property24,Sale,,KSh 26 500 000,"Riara Rd Maziwa, Kilimani, Nairobi",,,,,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-kilimani-116930331,2026-02-17T14:48:50.385247,26.0,,,,,
Property24,Sale,,KSh 28 200 000,"Riara Rd Maziwa, Kilimani, Nairobi",,,,,https://www.property24.co.ke/5-bedroom-apartment-flat-for-sale-in-kilimani-116930326,2026-02-17T14:48:50.389578,28.0,,,,,
Property24,Sale,,KSh 15 800 000,"Riara Rd Maziwa, Kilimani, Nairobi",,,,,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-kilimani-116930355,2026-02-17T14:48:50.401540,15.0,,,,,
Property24,Sale,,KSh 13 600 000,"Riverside Dr Nairobi, Riverside, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-riverside-101739083,2026-02-17T14:48:50.404804,13.0,,,,,
